SessionID,UserID,Timestamp,PageType,DeviceType,ReferralSource,TimeOnPage_seconds,ItemsInCart,Purchased
S43,U258,2024-03-14 17:58:35,Home,Tablet,Ads,30,0,0
S44,U162,2024-10-17 11:38:15,Home,Mobile,Direct,48,0,0
S45,U261,2024-01-23 02:09:21,Cart,Mobile,Ads,231,2,1
S46,U513,2024-02-16 13:25:27,Cart,Mobile,Direct,299,2,1
S47,U529,2024-09-12 07:09:43,Home,Mobile,Social,35,0,0
S48,U785,2024-10-05 03:23:29,Home,Mobile,Direct,52,0,0
S49,U568,2024-05-02 18:59:06,Cart,Mobile,Ads,244,3,0
S50,U175,2024-07-27 19:06:57,Home,Mobile,Social,44,0,0
S51,U350,2024-05-23 12:14:31,Home,Mobile,Ads,25,0,0
S52,U726,2024-11-09 10:43:00,Product,Mobile,Social,72,1,0
S53,U779,2024-02-10 05:29:46,Cart,Mobile,Direct,246,4,1
S54,U378,2024-04-19 10:09:31,Product,Desktop,Direct,143,0,0
S55,U617,2024-07-08 17:26:48,Home,Tablet,Direct,49,0,0
S56,U949,2024-04-17 10:50:47,Home,Mobile,Direct,45,0,0
S57,U265,2024-10-14 20:46:22,Home,Desktop,Ads,33,0,0
S58,U177,2024-12-08 23:08:53,Product,Mobile,Direct,90,1,0
S59,U696,2024-08-02 13:54:25,Home,Mobile,Direct,13,0,0
S60,U466,2024-03-22 14:03:18,Product,Desktop,Direct,82,1,0
S61,U735,2024-10-18 01:38:15,Home,Tablet,Social,15,0,0
S62,U522,2024-01-10 15:01:32,Home,Tablet,Ads,55,0,0
S63,U921,2024-09-17 03:59:13,Product,Desktop,Direct,60,3,0
S64,U491,2024-12-04 17:11:01,Home,Mobile,Direct,32,0,0
S65,U458,2024-04-28 12:35:06,Product,Desktop,Direct,67,2,0
S66,U508,2024-05-07 11:37:23,Home,Mobile,Ads,59,0,0
S67,U756,2024-07-16 20:00:18,Home,Tablet,Ads,27,0,0
S68,U218,2024-12-06 14:35:25,Cart,Tablet,Direct,245,2,1
S69,U710,2024-06-17 18:25:40,Home,Desktop,Direct,41,0,0
S70,U218,2024-05-29 14:16:53,Product,Mobile,Direct,120,3,0
S71,U101,2024-07-20 22:00:31,Cart,Desktop,Ads,160,3,1
S72,U472,2024-06-16 11:58:59,Home,Desktop,Direct,5,0,0
S73,U779,2024-11-25 08:04:31,Home,Tablet,Ads,9,0,0
S74,U434,2024-06-05 06:38:36,Product,Mobile,Direct,156,2,0
S75,U793,2024-10-17 13:07:10,Cart,Mobile,Ads,44,3,0
S76,U411,2024-04-21 10:13:46,Home,Desktop,Ads,30,0,0
S77,U576,2024-06-20 13:44:38,Home,Mobile,Direct,46,0,0
S78,U774,2024-02-02 22:21:06,Home,Desktop,Ads,17,0,0
S79,U938,2024-10-18 17:06:53,Home,Mobile,Social,55,0,0
S80,U125,2024-01-18 22:44:35,Home,Mobile,Social,36,0,0
S81,U566,2024-06-09 22:52:12,Product,Mobile,Ads,115,1,0
S82,U606,2024-06-04 05:02:04,Home,Desktop,Direct,8,0,0
S83,U897,2024-06-14 02:38:59,Home,Desktop,Ads,34,0,0
S84,U151,2024-08-04 11:23:54,Home,Desktop,Direct,41,0,0
S85,U783,2024-07-25 06:30:28,Cart,Tablet,Social,260,3,1
S86,U536,2024-11-18 13:27:56,Cart,Mobile,Social,172,1,1
S87,U365,2024-10-18 23:04:03,Home,Desktop,Ads,47,0,0
S88,U596,2024-08-31 09:43:07,Home,Mobile,Ads,33,0,0
S89,U378,2024-05-10 10:19:33,Home,Mobile,Direct,40,0,0
S90,U492,2024-09-26 12:04:51,Home,Mobile,Direct,17,0,0
S91,U655,2024-06-29 22:43:45,Home,Mobile,Direct,36,0,0
S92,U977,2024-12-08 00:18:54,Product,Mobile,Direct,64,2,0
S93,U405,2024-10-19 14:53:49,Home,Desktop,Social,57,0,0
S94,U865,2024-10-12 07:17:08,Home,Desktop,Direct,10,0,0
S95,U379,2024-06-18 06:17:08,Home,Mobile,Ads,32,0,0
S96,U841,2024-03-05 02:19:42,Product,Tablet,Social,49,1,0
S97,U127,2024-12-18 05:11:22,Home,Mobile,Direct,15,0,0
S98,U238,2024-12-02 15:38:24,Home,Mobile,Direct,59,0,0
S99,U565,2024-05-06 22:25:25,Home,Desktop,Direct,32,0,0
S100,U358,2024-11-20 05:56:01,Home,Mobile,Ads,29,0,0
S101,U329,2024-09-09 11:46:55,Home,Tablet,Direct,43,0,0
S102,U353,2024-03-18 10:10:34,Product,Desktop,Direct,46,1,0
S103,U785,2024-02-14 10:11:12,Home,Mobile,Ads,56,0,0
S104,U271,2024-08-23 07:19:45,Product,Desktop,Direct,22,0,0
S105,U418,2024-02-11 23:33:12,Home,Tablet,Ads,43,0,0
S106,U506,2024-12-31 15:08:31,Product,Mobile,Ads,174,0,0
S107,U204,2024-09-27 18:18:35,Product,Desktop,Ads,70,1,0
S108,U915,2024-08-07 18:52:25,Product,Mobile,Direct,171,0,0
S109,U170,2024-07-15 11:53:46,Product,Mobile,Direct,115,1,0
S110,U208,2024-06-17 08:43:51,Cart,Desktop,Ads,262,4,0
S111,U280,2024-10-11 23:28:04,Home,Desktop,Ads,56,0,0
S112,U893,2024-07-06 18:31:24,Home,Desktop,Ads,53,0,0
S113,U972,2024-04-05 08:10:50,Product,Mobile,Social,71,0,0
S114,U868,2024-06-29 11:23:48,Home,Desktop,Direct,16,0,0
S115,U971,2024-05-06 05:21:05,Home,Mobile,Ads,43,0,0
S116,U386,2024-12-07 21:10:36,Home,Desktop,Ads,6,0,0
S117,U295,2024-02-03 05:58:14,Home,Mobile,Ads,7,0,0
S118,U807,2024-07-03 21:30:33,Product,Mobile,Ads,132,0,0
S119,U401,2024-03-27 01:25:41,Home,Mobile,Ads,21,0,0
S120,U584,2024-08-02 22:44:30,Home,Mobile,Ads,53,0,0
S121,U460,2024-09-29 23:04:58,Home,Mobile,Direct,6,0,0
S122,U423,2024-02-16 10:19:51,Product,Tablet,Ads,148,1,0
S123,U321,2024-10-13 20:17:39,Home,Desktop,Social,23,0,0
S124,U711,2024-04-19 21:44:20,Cart,Mobile,Direct,159,2,0
S125,U114,2024-10-01 23:12:38,Home,Mobile,Social,57,0,0
S126,U814,2024-02-19 01:00:36,Product,Desktop,Direct,87,2,0
S127,U687,2024-04-20 10:14:04,Home,Mobile,Direct,59,0,0
S128,U358,2024-12-31 11:20:54,Product,Mobile,Direct,57,1,0
S129,U175,2024-08-12 02:13:37,Product,Mobile,Direct,135,0,0
S130,U187,2024-04-06 09:18:26,Home,Desktop,Ads,38,0,0
S131,U894,2024-07-21 22:43:44,Home,Tablet,Direct,10,0,0
S132,U412,2024-08-08 20:00:38,Product,Desktop,Ads,163,1,0
S133,U740,2024-03-22 22:53:50,Home,Mobile,Direct,37,0,0
S134,U260,2024-01-02 00:56:22,Home,Desktop,Direct,13,0,0
S135,U337,2024-04-21 21:19:55,Product,Desktop,Direct,89,0,0
S136,U370,2024-11-01 23:05:21,Product,Mobile,Social,166,2,0
S137,U535,2024-02-14 13:47:33,Home,Desktop,Social,30,0,0
S138,U173,2024-01-24 03:52:00,Home,Mobile,Ads,7,0,0
S139,U549,2024-02-18 07:03:36,Home,Mobile,Direct,23,0,0
S140,U612,2024-07-28 16:59:34,Home,Mobile,Direct,24,0,0
S141,U852,2024-05-05 04:15:17,Product,Mobile,Direct,147,1,0
S142,U883,2024-09-18 02:07:06,Product,Mobile,Ads,170,2,0
S143,U581,2024-07-20 13:05:36,Product,Tablet,Direct,163,2,0
S144,U750,2024-11-12 05:18:46,Home,Mobile,Direct,30,0,0
S145,U428,2024-09-17 06:05:49,Home,Mobile,Direct,52,0,0
S146,U395,2024-09-14 07:43:34,Cart,Mobile,Direct,89,1,0
S147,U358,2024-05-05 13:07:48,Home,Desktop,Social,53,0,0
S148,U773,2024-12-03 15:05:32,Home,Mobile,Direct,6,0,0
S149,U737,2024-10-20 18:33:40,Home,Mobile,Direct,5,0,0
S150,U662,2024-02-20 21:07:54,Cart,Desktop,Direct,283,4,1
S151,U826,2024-03-02 12:11:29,Home,Mobile,Direct,16,0,0
S152,U961,2024-12-20 13:07:23,Home,Tablet,Ads,9,0,0
S153,U610,2024-12-28 04:57:23,Product,Mobile,Direct,118,2,0
S154,U583,2024-04-04 15:44:12,Home,Mobile,Direct,23,0,0
S155,U864,2024-12-07 11:54:53,Home,Mobile,Ads,52,0,0
S156,U448,2024-12-28 19:49:34,Product,Mobile,Direct,171,2,0
S157,U957,2024-08-15 22:39:21,Home,Desktop,Social,56,0,0
S158,U651,2024-07-07 02:23:20,Home,Mobile,Ads,15,0,0
S159,U429,2024-12-03 17:16:30,Home,Desktop,Ads,53,0,0
S160,U976,2024-10-28 04:35:54,Home,Mobile,Direct,12,0,0
S161,U495,2024-09-14 18:01:41,Product,Desktop,Direct,131,2,0
S162,U229,2024-07-14 01:41:34,Cart,Mobile,Social,128,2,1
S163,U638,2024-12-19 13:55:53,Home,Desktop,Direct,29,0,0
S164,U176,2024-07-01 07:58:10,Product,Mobile,Ads,147,0,0
S165,U765,2024-02-01 04:35:34,Product,Desktop,Social,73,0,0
S166,U424,2024-08-31 10:11:30,Product,Desktop,Social,87,2,0
S167,U732,2024-01-27 13:43:39,Home,Desktop,Direct,37,0,0
S168,U864,2024-02-05 02:23:47,Home,Mobile,Ads,18,0,0
S169,U554,2024-03-05 14:37:55,Product,Tablet,Direct,167,0,0
S170,U400,2024-05-19 05:07:13,Home,Mobile,Ads,12,0,0
S171,U274,2024-03-08 23:45:52,Home,Desktop,Ads,11,0,0
S172,U609,2024-12-20 12:10:59,Home,Mobile,Ads,7,0,0
S173,U361,2024-09-15 23:24:21,Home,Desktop,Social,21,0,0
S174,U261,2024-01-29 16:26:34,Home,Mobile,Ads,37,0,0
S175,U806,2024-04-07 03:05:03,Home,Mobile,Social,52,0,0
S176,U209,2024-04-02 02:55:02,Home,Mobile,Direct,16,0,0
S177,U122,2024-11-18 08:30:38,Product,Mobile,Ads,41,1,0
S178,U720,2024-10-16 09:30:28,Home,Tablet,Direct,50,0,0
S179,U721,2024-11-07 10:32:51,Home,Desktop,Ads,34,0,0
S180,U743,2024-02-07 17:38:00,Cart,Mobile,Direct,259,2,0
S181,U849,2024-02-21 00:50:48,Home,Mobile,Ads,49,0,0
S182,U305,2024-02-21 07:49:06,Product,Desktop,Direct,40,2,0
S183,U379,2024-11-18 12:33:57,Home,Tablet,Social,34,0,0
S184,U864,2024-12-04 00:41:15,Home,Mobile,Social,37,0,0
S185,U872,2024-03-28 14:52:52,Product,Desktop,Social,80,1,0
S186,U192,2024-11-03 01:41:24,Home,Mobile,Direct,52,0,0
S187,U788,2024-10-17 21:17:38,Product,Mobile,Social,54,0,0
S188,U210,2024-09-19 01:55:57,Home,Mobile,Social,53,0,0
S189,U724,2024-03-26 23:17:30,Product,Desktop,Direct,177,0,0
S190,U764,2024-06-07 13:35:35,Home,Mobile,Direct,33,0,0
S191,U218,2024-02-07 17:53:42,Home,Mobile,Direct,50,0,0
S192,U786,2024-10-15 14:34:04,Product,Mobile,Ads,56,1,0
S193,U524,2024-09-11 08:18:52,Home,Mobile,Direct,28,0,0
S194,U133,2024-09-25 01:52:55,Home,Mobile,Social,33,0,0
S195,U201,2024-09-23 07:00:11,Home,Tablet,Ads,53,0,0
S196,U507,2024-04-17 03:24:05,Home,Mobile,Social,50,0,0
S197,U193,2024-09-14 09:27:08,Home,Desktop,Social,57,0,0
S198,U905,2024-05-09 12:31:50,Home,Mobile,Ads,35,0,0
S199,U949,2024-10-24 03:47:01,Home,Mobile,Social,39,0,0
S200,U436,2024-10-27 17:38:17,Home,Tablet,Direct,37,0,0
S201,U233,2024-07-28 19:10:22,Home,Mobile,Ads,56,0,0
S202,U234,2024-01-06 18:30:29,Home,Desktop,Ads,25,0,0
S203,U278,2024-04-13 01:24:16,Home,Desktop,Ads,36,0,0
S204,U587,2024-06-23 02:13:40,Product,Mobile,Direct,147,1,0
S205,U326,2024-08-26 21:12:40,Home,Desktop,Social,22,0,0
S206,U408,2024-06-26 21:15:56,Product,Mobile,Social,123,2,0
S207,U536,2024-09-23 10:53:31,Home,Desktop,Direct,50,0,0
S208,U429,2024-08-24 05:44:34,Home,Mobile,Ads,28,0,0
S209,U829,2024-05-06 06:56:52,Home,Mobile,Direct,54,0,0
S210,U719,2024-06-16 01:44:54,Home,Desktop,Social,36,0,0
S211,U540,2024-06-24 08:47:48,Product,Mobile,Social,146,1,0
S212,U525,2024-10-10 08:28:53,Home,Mobile,Ads,31,0,0
S213,U256,2024-09-23 17:38:09,Cart,Desktop,Direct,133,2,1
S214,U862,2024-10-13 22:04:40,Home,Mobile,Direct,37,0,0
S215,U786,2024-02-17 11:16:41,Home,Desktop,Social,13,0,0
S216,U988,2024-12-21 16:16:54,Product,Tablet,Ads,45,1,0
S217,U206,2024-08-12 10:35:27,Home,Mobile,Direct,39,0,0
S218,U458,2024-11-24 07:27:04,Home,Mobile,Direct,54,0,0
S219,U926,2024-06-15 15:37:03,Product,Tablet,Social,39,3,0
S220,U723,2024-12-26 19:41:35,Product,Desktop,Direct,134,2,0
S221,U819,2024-10-23 02:10:18,Home,Mobile,Direct,27,0,0
S222,U679,2024-09-12 06:53:45,Home,Mobile,Ads,19,0,0
S223,U193,2024-10-16 18:15:56,Home,Mobile,Direct,32,0,0
S224,U478,2024-05-01 00:40:14,Product,Desktop,Ads,105,1,0
S225,U153,2024-03-01 10:06:35,Home,Desktop,Ads,55,0,0
S226,U553,2024-09-14 01:42:56,Home,Desktop,Direct,29,0,0
S227,U873,2024-07-17 23:24:49,Home,Mobile,Direct,26,0,0
S228,U639,2024-09-16 02:07:34,Home,Mobile,Social,26,0,0
S229,U107,2024-03-20 09:21:41,Home,Mobile,Direct,53,0,0
S230,U396,2024-05-07 10:19:19,Home,Mobile,Direct,56,0,0
S231,U489,2024-07-25 20:01:38,Product,Mobile,Social,34,0,0
S232,U173,2024-06-03 04:58:17,Product,Mobile,Direct,120,0,0
S233,U982,2024-05-01 13:56:11,Home,Mobile,Ads,37,0,0
S234,U396,2024-02-14 17:29:37,Home,Tablet,Direct,12,0,0
S235,U951,2024-09-24 19:37:53,Cart,Desktop,Direct,89,1,1
S236,U636,2024-01-31 13:02:38,Home,Mobile,Direct,48,0,0
S237,U897,2024-03-06 07:06:37,Home,Desktop,Ads,48,0,0
S238,U894,2024-05-15 16:24:48,Home,Tablet,Ads,9,0,0
S239,U341,2024-02-09 22:12:27,Home,Mobile,Ads,43,0,0
S240,U281,2024-10-27 03:27:58,Product,Mobile,Ads,128,0,0
S241,U797,2024-12-24 21:44:31,Product,Desktop,Social,113,0,0
S242,U984,2024-08-31 14:05:23,Home,Mobile,Direct,51,0,0
S243,U915,2024-04-16 16:08:38,Home,Mobile,Direct,39,0,0
S244,U562,2024-01-15 14:31:29,Home,Desktop,Direct,59,0,0
S245,U729,2024-08-18 17:13:30,Home,Mobile,Ads,44,0,0
S246,U560,2024-12-19 00:57:34,Product,Desktop,Direct,177,2,0
S247,U613,2024-02-28 14:07:37,Cart,Desktop,Social,174,3,1
S248,U616,2024-09-07 22:20:27,Home,Mobile,Direct,23,0,0
S249,U636,2024-07-22 00:21:53,Product,Mobile,Social,136,1,0
S250,U518,2024-10-27 18:32:06,Home,Mobile,Ads,27,0,0
S251,U167,2024-05-08 00:56:26,Home,Desktop,Direct,13,0,0
S252,U441,2024-02-01 15:39:12,Home,Mobile,Direct,16,0,0
S253,U232,2024-08-19 02:11:10,Product,Mobile,Ads,20,1,0
S254,U932,2024-02-19 15:07:27,Product,Desktop,Ads,137,1,0
S255,U195,2024-09-07 21:23:15,Product,Mobile,Direct,35,2,0
S256,U284,2024-03-24 04:25:13,Home,Desktop,Direct,43,0,0
S257,U258,2024-01-30 23:13:50,Home,Desktop,Ads,9,0,0
S258,U955,2024-10-13 20:39:39,Product,Mobile,Direct,95,1,0
S259,U711,2024-05-26 07:17:01,Home,Mobile,Ads,30,0,0
S260,U838,2024-06-18 23:24:42,Home,Mobile,Ads,20,0,0
S261,U725,2024-04-20 15:43:14,Product,Desktop,Direct,105,0,0
S262,U416,2024-11-10 00:55:14,Product,Tablet,Direct,88,0,0
S263,U572,2024-10-25 19:41:13,Home,Mobile,Ads,51,0,0
S264,U936,2024-03-18 13:19:03,Product,Mobile,Direct,163,0,0
S265,U995,2024-05-24 03:56:51,Home,Mobile,Social,30,0,0
S266,U391,2024-02-02 13:46:22,Product,Mobile,Social,120,2,0
S267,U950,2024-06-18 21:32:23,Home,Tablet,Social,27,0,0
S268,U127,2024-06-10 03:07:10,Home,Mobile,Direct,14,0,0
S269,U483,2024-03-28 04:51:10,Home,Tablet,Social,58,0,0
S270,U910,2024-02-26 17:16:41,Home,Mobile,Social,9,0,0
S271,U877,2024-10-01 00:04:25,Home,Desktop,Social,40,0,0
S272,U362,2024-03-24 18:02:52,Product,Mobile,Ads,157,0,0
S273,U533,2024-02-13 04:20:11,Product,Mobile,Direct,20,1,0
S274,U529,2024-09-05 03:27:42,Product,Mobile,Direct,99,2,0
S275,U711,2024-07-27 04:23:00,Home,Mobile,Direct,59,0,0
S276,U398,2024-06-15 16:47:47,Home,Mobile,Ads,6,0,0
S277,U780,2024-09-16 12:12:51,Home,Tablet,Direct,53,0,0
S278,U657,2024-07-16 00:38:12,Product,Mobile,Direct,143,3,0
S279,U144,2024-09-03 20:52:52,Home,Mobile,Ads,37,0,0
S280,U907,2024-01-27 05:42:02,Home,Desktop,Ads,37,0,0
S281,U236,2024-01-18 05:14:18,Home,Mobile,Ads,55,0,0
S282,U812,2024-07-04 20:14:01,Product,Desktop,Direct,62,3,0
S283,U137,2024-04-23 23:04:58,Home,Desktop,Social,48,0,0
S284,U417,2024-07-19 03:43:23,Home,Desktop,Direct,33,0,0
S285,U871,2024-09-08 05:32:58,Home,Mobile,Ads,17,0,0
S286,U379,2024-02-18 08:11:28,Product,Mobile,Direct,65,0,0
S287,U495,2024-05-11 16:03:01,Cart,Mobile,Social,282,2,1
S288,U373,2024-11-07 03:14:29,Home,Mobile,Direct,55,0,0
S289,U658,2024-04-24 02:06:05,Home,Mobile,Ads,54,0,0
S290,U556,2024-08-22 00:50:26,Product,Mobile,Direct,27,1,0
S291,U143,2024-10-09 06:24:04,Product,Mobile,Social,134,1,0
S292,U754,2024-11-03 09:06:28,Cart,Desktop,Direct,225,1,1
S293,U131,2024-02-25 10:48:03,Product,Desktop,Direct,94,1,0
S294,U168,2024-04-01 15:38:10,Product,Mobile,Direct,157,3,0
S295,U719,2024-02-29 14:08:50,Product,Tablet,Direct,118,1,0
S296,U687,2024-02-23 11:24:41,Home,Mobile,Ads,52,0,0
S297,U216,2024-01-11 01:31:47,Product,Mobile,Direct,115,0,0
S298,U368,2024-10-27 23:11:33,Home,Mobile,Social,28,0,0
S299,U810,2024-12-21 22:12:09,Cart,Mobile,Direct,219,3,1
S300,U830,2024-06-21 20:44:13,Cart,Tablet,Social,66,4,0
S301,U826,2024-01-26 05:16:33,Home,Mobile,Direct,16,0,0
S302,U828,2024-10-02 13:36:49,Cart,Desktop,Ads,212,1,0
S303,U305,2024-11-03 14:35:13,Home,Desktop,Direct,17,0,0
S304,U578,2024-11-08 02:40:12,Cart,Desktop,Direct,246,3,1
S305,U834,2024-10-06 04:21:03,Home,Mobile,Direct,39,0,0
S306,U228,2024-05-03 02:54:43,Product,Mobile,Ads,36,0,0
S307,U231,2024-12-06 23:10:54,Product,Mobile,Ads,105,1,0
S308,U543,2024-07-14 07:01:48,Cart,Mobile,Direct,216,1,1
S309,U265,2024-05-05 07:24:58,Cart,Tablet,Ads,206,3,1
S310,U966,2024-01-31 15:01:39,Home,Desktop,Ads,40,0,0
S311,U740,2024-04-27 14:31:47,Product,Mobile,Ads,166,0,0
S312,U275,2024-09-12 19:50:07,Product,Tablet,Direct,47,0,0
S313,U945,2024-12-01 11:01:27,Home,Mobile,Ads,18,0,0
S314,U766,2024-03-22 20:52:35,Product,Mobile,Ads,130,1,0
S315,U742,2024-07-30 21:09:02,Home,Tablet,Direct,20,0,0
S316,U404,2024-06-25 03:20:15,Home,Mobile,Direct,57,0,0
S317,U575,2024-03-20 05:37:56,Home,Mobile,Social,9,0,0
S318,U851,2024-11-30 07:01:35,Home,Mobile,Ads,39,0,0
S319,U675,2024-02-11 05:42:21,Home,Mobile,Direct,16,0,0
S320,U244,2024-02-07 14:21:00,Home,Tablet,Social,29,0,0
S321,U354,2024-12-02 01:15:01,Cart,Tablet,Ads,82,4,0
S322,U881,2024-03-02 21:10:44,Home,Mobile,Direct,27,0,0
S323,U609,2024-01-10 00:01:07,Home,Mobile,Direct,20,0,0
S324,U320,2024-08-14 13:09:40,Home,Mobile,Direct,43,0,0
S325,U392,2024-07-27 10:19:13,Home,Mobile,Direct,49,0,0
S326,U844,2024-05-22 01:17:40,Product,Mobile,Direct,94,3,0
S327,U471,2024-08-02 20:24:41,Home,Mobile,Direct,22,0,0
S328,U945,2024-08-30 01:01:57,Product,Mobile,Social,156,5,0
S329,U482,2024-11-04 16:58:44,Cart,Mobile,Direct,151,2,1
S330,U511,2024-07-13 05:03:50,Home,Mobile,Ads,6,0,0
S331,U631,2024-06-26 11:26:31,Home,Desktop,Direct,9,0,0
S332,U266,2024-06-01 14:36:07,Cart,Mobile,Direct,194,1,0
S333,U645,2024-07-09 05:42:06,Product,Mobile,Social,155,0,0
S334,U439,2024-09-18 16:19:50,Home,Mobile,Direct,52,0,0
S335,U711,2024-07-03 07:30:05,Home,Desktop,Social,49,0,0
S336,U838,2024-01-20 22:39:53,Home,Mobile,Ads,5,0,0
S337,U251,2024-11-15 02:26:17,Product,Mobile,Social,90,1,0
S338,U295,2024-01-08 08:30:32,Home,Mobile,Direct,29,0,0
S339,U520,2024-07-13 21:17:48,Product,Tablet,Social,178,1,0
S340,U822,2024-02-23 15:01:19,Home,Mobile,Social,23,0,0
S341,U638,2024-05-26 08:15:41,Home,Mobile,Social,48,0,0
S342,U659,2024-05-17 14:11:38,Product,Desktop,Ads,109,1,0
S343,U724,2024-07-07 00:53:08,Home,Mobile,Ads,23,0,0
S344,U404,2024-10-26 11:51:54,Home,Mobile,Ads,43,0,0
S345,U591,2024-05-15 11:04:52,Home,Tablet,Ads,7,0,0
S346,U224,2024-08-10 17:11:28,Product,Mobile,Social,145,0,0
S347,U891,2024-11-08 11:33:47,Home,Mobile,Social,24,0,0
S348,U454,2024-12-24 20:23:38,Home,Mobile,Direct,32,0,0
S349,U947,2024-07-28 03:54:36,Home,Mobile,Direct,12,0,0
S350,U730,2024-10-14 17:36:15,Home,Mobile,Ads,45,0,0
S351,U331,2024-09-04 18:04:27,Home,Mobile,Direct,43,0,0
S352,U202,2024-09-21 13:10:10,Product,Mobile,Ads,132,3,0
S353,U516,2024-09-10 13:24:06,Cart,Mobile,Direct,146,1,0
S354,U428,2024-04-20 20:15:49,Product,Tablet,Direct,179,1,0
S355,U647,2024-10-13 21:03:26,Product,Tablet,Social,99,1,0
S356,U527,2024-12-08 15:07:08,Product,Tablet,Direct,166,2,0
S357,U906,2024-07-11 09:18:45,Home,Desktop,Social,24,0,0
S358,U997,2024-01-15 13:12:36,Home,Mobile,Direct,22,0,0
S359,U391,2024-06-25 10:50:25,Cart,Mobile,Social,262,3,1
S360,U579,2024-04-15 23:01:33,Home,Mobile,Direct,53,0,0
S361,U763,2024-04-09 21:52:56,Product,Mobile,Direct,136,1,0
S362,U681,2024-09-18 21:52:27,Product,Mobile,Social,31,1,0
S363,U946,2024-06-15 02:28:59,Home,Mobile,Ads,14,0,0
S364,U243,2024-07-04 10:11:41,Home,Mobile,Direct,36,0,0
S365,U557,2024-10-19 17:31:16,Home,Mobile,Ads,20,0,0
S366,U367,2024-09-10 20:46:14,Home,Mobile,Ads,12,0,0
S367,U414,2024-03-03 00:40:07,Home,Mobile,Social,42,0,0
S368,U806,2024-02-15 14:23:38,Product,Tablet,Direct,27,1,0
S369,U324,2024-02-21 20:57:04,Home,Mobile,Social,32,0,0
S370,U525,2024-09-29 14:33:42,Home,Mobile,Ads,40,0,0
S371,U880,2024-04-06 02:32:41,Product,Mobile,Ads,47,1,0
S372,U557,2024-07-24 02:55:49,Product,Mobile,Ads,60,0,0
S373,U948,2024-07-31 16:27:39,Cart,Mobile,Direct,221,4,1
S374,U552,2024-02-15 03:26:07,Product,Desktop,Direct,176,1,0
S375,U556,2024-11-10 01:33:23,Home,Mobile,Direct,17,0,0
S376,U672,2024-06-28 13:40:41,Product,Mobile,Direct,29,4,0
